更新时间: 2026-04-12 06:50:23（北京时间）
⚠️ 注意：频道列表已通过30秒增强稳定性测试
📺 经过30秒稳定性测试，减少断流问题

免责声明,#genre#
免责声明视频,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV9,http://223.10.214.111:6000/rtp/239.1.1.16:8016$山西电信
CCTV9,http://43.138.5.183:10001/rtp/225.1.8.9:8112$北京市电信

卫视频道,#genre#
东南卫视,http://113.95.132.166:554/rtp/239.77.0.146:5146$广东电信
东南卫视,http://121.238.250.95:8800/rtp/239.49.8.112:8000$江苏电信
东南卫视,http://183.164.55.112:5000/rtp/238.1.78.22:6104$安徽电信
东南卫视,http://221.219.104.6:1193/rtp/239.3.1.156:8148$北京市联通
东南卫视,http://221.219.75.32:4000/rtp/239.3.1.156:8148$北京市联通
东南卫视,http://223.10.214.111:6000/rtp/239.1.1.33:8033$山西电信
东南卫视,http://43.138.5.183:10001/rtp/225.1.8.79:8148$北京市电信
东方卫视,http://113.95.132.166:554/rtp/239.77.0.59:5146$广东电信
东方卫视,http://113.95.132.166:554/rtp/239.77.1.218:5146$广东电信
东方卫视,http://121.238.250.95:8800/rtp/239.49.8.17:9606$江苏电信
东方卫视,http://183.164.55.112:5000/rtp/238.1.78.163:7176$安徽电信
东方卫视,http://221.219.104.6:1193/rtp/239.3.1.136:8032$北京市联通
东方卫视,http://221.219.75.32:4000/rtp/239.3.1.136:8032$北京市联通
东方卫视,http://43.138.5.183:10001/rtp/225.1.8.45:8032$北京市电信
云南卫视,http://113.95.132.166:554/rtp/239.253.43.100:5146$广东电信
云南卫视,http://121.238.250.95:8800/rtp/239.49.0.177:8000$江苏电信
云南卫视,http://183.164.55.112:5000/rtp/238.1.78.89:6584$安徽电信
云南卫视,http://221.219.104.6:1193/rtp/239.3.1.26:8108$北京市联通
云南卫视,http://221.219.75.32:4000/rtp/239.3.1.26:8108$北京市联通
云南卫视,http://223.10.214.111:6000/rtp/239.1.1.54:8054$山西电信
内蒙古卫视,http://113.95.132.166:554/rtp/239.77.0.70:5146$广东电信
内蒙古卫视,http://183.164.55.112:5000/rtp/238.1.78.103:6696$安徽电信
内蒙古卫视,http://221.219.104.6:1193/rtp/239.3.1.43:8176$北京市联通
内蒙古卫视,http://221.219.75.32:4000/rtp/239.3.1.43:8176$北京市联通
内蒙古卫视,http://223.10.214.111:6000/rtp/239.1.1.60:8060$山西电信
北京卫视,http://113.95.132.166:554/rtp/239.77.0.153:5146$广东电信
北京卫视,http://113.95.132.166:554/rtp/239.77.0.233:5146$广东电信
北京卫视,http://113.95.132.166:554/rtp/239.77.0.2:5146$广东电信
北京卫视,http://113.95.132.166:554/rtp/239.77.0.3:5146$广东电信
北京卫视,http://113.95.132.166:554/rtp/239.77.0.91:5146$广东电信
北京卫视,http://113.95.132.166:554/rtp/239.77.1.13:5146$广东电信
北京卫视,http://121.238.250.95:8800/rtp/239.49.8.11:9414$江苏电信
北京卫视,http://183.164.55.112:5000/rtp/238.1.78.162:7168$安徽电信
北京卫视,http://221.219.104.6:1193/rtp/239.3.1.241:8000$北京市联通
北京卫视,http://221.219.75.32:4000/rtp/239.3.1.241:8000$北京市联通
北京卫视,http://223.10.214.111:6000/rtp/239.1.1.41:8041$山西电信
北京卫视,http://43.138.5.183:10001/rtp/225.1.8.21:8002$北京市电信
吉林卫视,http://113.95.132.166:554/rtp/239.77.1.111:5146$广东电信
吉林卫视,http://121.238.250.95:8800/rtp/239.49.8.113:8000$江苏电信
吉林卫视,http://183.164.55.112:5000/rtp/238.1.79.48:4496$安徽电信
吉林卫视,http://221.219.104.6:1193/rtp/239.3.1.240:8172$北京市联通
吉林卫视,http://221.219.75.32:4000/rtp/239.3.1.240:8172$北京市联通
吉林卫视,http://223.10.214.111:6000/rtp/239.1.1.30:8030$山西电信
四川卫视,http://113.95.132.166:554/rtp/239.77.0.159:5146$广东电信
四川卫视,http://121.238.250.95:8800/rtp/239.49.8.110:8000$江苏电信
四川卫视,http://183.164.55.112:5000/rtp/238.1.78.30:6168$安徽电信
四川卫视,http://221.219.104.6:1193/rtp/239.3.1.29:8288$北京市联通
四川卫视,http://221.219.75.32:4000/rtp/239.3.1.29:8288$北京市联通
